store_id,name,address,suburb,chain?,website_url,phone_number,lat,lng,apportioned_pop,pop_density_per_sqkm
STR_0060,Harris Farm Markets Majura Park,Unit 3/10 Catalina Dr,Majura Park,True,https://harrisfarm.com.au/?utm_source=GMB&utm_medium=sitelink&utm_campaign=majura_park,(02) 6061 4680,-35.2954122,149.1889051,2695.1431720965043,95.32
STR_0061,Four Little Paws Dog Treats,19 Gleadow St,Evatt,True,https://fourlittlepawsstore.etsy.com/,0413 854 509,-35.211117,149.0714338,33545.25815414554,1186.42
STR_0062,Woolworths Metro Hawker,29 Hawker Pl,Hawker,True,https://www.woolworths.com.au/shop/storelocator/act-hawker-1089?utm_source=google&utm_medium=organic&utm_campaign=googleplaces&utm_content=woolworths_supermarkets_1089,(02) 6132 9302,-35.2431704,149.0441199,36382.991829888546,1286.79
STR_0063,Coles Belconnen,Westfield Belconnen,Belconnen,True,http://www.coles.com.au/find-stores/coles/act/belconnen-779,(02) 6256 1300,-35.2438238,149.0673323,43017.02526121465,1521.42
STR_0064,Salvos Stores Weston,14 Trenerry St,Weston,True,https://www.salvosstores.com.au/stores/act/2611-weston-8609,(02) 6287 1641,-35.3410338,149.0514244,38933.209550607055,1376.98
STR_0065,Canberra Stockfeeds & Pets,1 Victoria St,Hall,True,http://www.canberrastockfeeds.com.au/,0494 040 870,-35.1711442,149.0699854,11234.254540633738,397.33
STR_0066,Australian Reptile Center,O'Hanlon Pl,Nicholls,True,http://www.reptilesinc.com.au/,(02) 6253 8533,-35.1906936,149.0827765,30595.96822303162,1082.11
STR_0067,Woolworths Belconnen,128 Benjamin Way,Belconnen,True,https://www.woolworths.com.au/shop/storelocator/act-belconnen-1139?utm_source=google&utm_medium=organic&utm_campaign=googleplaces&utm_content=woolworths_supermarkets_1139,(02) 6132 9825,-35.2390067,149.0652117,45681.76136979371,1615.66
STR_0068,Another Chance Op Shop,Scullin Shopping centre,Scullin,False,https://mosaicbaptist.org.au/need-help/another-chance-op-shop/,(02) 6278 4135,-35.2337461,149.040161,39247.77793330772,1388.11
STR_0069,Gungahlin,Shop 1/5 Hibberson St,Gungahlin,False,https://www.petstock.com.au/store/petstock-gungahlin-2160,(02) 6185 1100,-35.1843413,149.1286248,57134.457164389554,2020.72
